station_id,date,time_utc,lat,lng,rainfall,temp,temp_max,temp_min,state,url_hash
TILDA,25-Aug-2014,23:00:00,21.6,81.4,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
BALRAMPUR,25-Aug-2014,23:00:00,23.2,83.7,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
GARIABAND,25-Aug-2014,23:00:00,20.6,82,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
ARJUNI,25-Aug-2014,23:00:00,22.7,82,0,26.4,,,5,fbbec74d3202cccbd6c86e20375becd4
NAYA RAIPUR,25-Aug-2014,23:00:00,21.2,81.9,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
KURUD,25-Aug-2014,23:00:00,20.8,81.7,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
TILDA,25-Aug-2014,22:00:00,21.6,81.4,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
BALRAMPUR,25-Aug-2014,22:00:00,23.2,83.7,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
NAYA RAIPUR,25-Aug-2014,22:00:00,21.2,81.9,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
GARIABAND,25-Aug-2014,22:00:00,20.6,82,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
KURUD,25-Aug-2014,21:00:00,20.8,81.7,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
ARJUNI,25-Aug-2014,21:00:00,22.7,82,0,27.3,,,5,fbbec74d3202cccbd6c86e20375becd4
NAYA RAIPUR,25-Aug-2014,21:00:00,21.2,81.9,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
TILDA,25-Aug-2014,21:00:00,21.6,81.4,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
GARIABAND,25-Aug-2014,21:00:00,20.6,82,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
TILDA,25-Aug-2014,20:00:00,21.6,81.4,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
NAYA RAIPUR,25-Aug-2014,20:00:00,21.2,81.9,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
KURUD,25-Aug-2014,20:00:00,20.8,81.7,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
BALRAMPUR,25-Aug-2014,20:00:00,23.2,83.7,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
GARIABAND,25-Aug-2014,20:00:00,20.6,82,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
KURUD,25-Aug-2014,19:00:00,20.8,81.7,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
BALRAMPUR,25-Aug-2014,19:00:00,23.2,83.7,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
NAYA RAIPUR,25-Aug-2014,19:00:00,21.2,81.9,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
TILDA,25-Aug-2014,19:00:00,21.6,81.4,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
GARIABAND,25-Aug-2014,19:00:00,20.6,82,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
BALRAMPUR,25-Aug-2014,18:00:00,23.2,83.7,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
KURUD,25-Aug-2014,18:00:00,20.8,81.7,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
NAYA RAIPUR,25-Aug-2014,18:00:00,21.2,81.9,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
TILDA,25-Aug-2014,18:00:00,21.6,81.4,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
ARJUNI,25-Aug-2014,18:00:00,22.7,82,0,27.7,,,5,fbbec74d3202cccbd6c86e20375becd4
GARIABAND,25-Aug-2014,18:00:00,20.6,82,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
BALRAMPUR,25-Aug-2014,17:00:00,23.2,83.7,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
NAYA RAIPUR,25-Aug-2014,17:00:00,21.2,81.9,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
TILDA,25-Aug-2014,17:00:00,21.6,81.4,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
GARIABAND,25-Aug-2014,17:00:00,20.6,82,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
KURUD,25-Aug-2014,17:00:00,20.8,81.7,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
ARJUNI,25-Aug-2014,17:00:00,22.7,82,0,27.7,,,5,fbbec74d3202cccbd6c86e20375becd4
BALRAMPUR,25-Aug-2014,16:00:00,23.2,83.7,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
NAYA RAIPUR,25-Aug-2014,16:00:00,21.2,81.9,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
TILDA,25-Aug-2014,16:00:00,21.6,81.4,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
ARJUNI,25-Aug-2014,16:00:00,22.7,82,0,27.9,,,5,fbbec74d3202cccbd6c86e20375becd4
GARIABAND,25-Aug-2014,16:00:00,20.6,82,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
KURUD,25-Aug-2014,16:00:00,20.8,81.7,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
BALRAMPUR,25-Aug-2014,15:00:00,23.2,83.7,0,,,,5,fbbec74d3202cccbd6c86e20375becd4
