station_id,date,time_utc,lat,lng,rainfall,temp,temp_max,temp_min,state,url_hash
CHENGMARI TEA GARDEN,24-Aug-2014,23:00:00,26.9,89,2,,,,28,8b5d05953b8351251b9d019745170c9b
DEGANGA,24-Aug-2014,23:00:00,22.7,88.7,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAGATBALLAVPUR,24-Aug-2014,23:00:00,22.7,88.1,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAYANTI,24-Aug-2014,23:00:00,26.7,89.6,0,22.6,,,28,8b5d05953b8351251b9d019745170c9b
KADAMDEULI,24-Aug-2014,23:00:00,23.1,86.8,0,,,,28,8b5d05953b8351251b9d019745170c9b
PEDONG,24-Aug-2014,23:00:00,27.2,88.6,0,19.8,,,28,8b5d05953b8351251b9d019745170c9b
SILIGURI,24-Aug-2014,23:00:00,26.5,88.4,50,,,,28,8b5d05953b8351251b9d019745170c9b
CHENGMARI TEA GARDEN,24-Aug-2014,22:00:00,26.9,89,1,,,,28,8b5d05953b8351251b9d019745170c9b
DEGANGA,24-Aug-2014,22:00:00,22.7,88.7,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAGATBALLAVPUR,24-Aug-2014,22:00:00,22.7,88.1,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAYANTI,24-Aug-2014,22:00:00,26.7,89.6,0,24.6,,,28,8b5d05953b8351251b9d019745170c9b
KADAMDEULI,24-Aug-2014,22:00:00,23.1,86.8,0,,,,28,8b5d05953b8351251b9d019745170c9b
CHENGMARI TEA GARDEN,24-Aug-2014,21:00:00,26.9,89,0,,,,28,8b5d05953b8351251b9d019745170c9b
DEGANGA,24-Aug-2014,21:00:00,22.7,88.7,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAGATBALLAVPUR,24-Aug-2014,21:00:00,22.7,88.1,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAYANTI,24-Aug-2014,21:00:00,26.7,89.6,0,24.6,,,28,8b5d05953b8351251b9d019745170c9b
KADAMDEULI,24-Aug-2014,21:00:00,23.1,86.8,0,,,,28,8b5d05953b8351251b9d019745170c9b
PEDONG,24-Aug-2014,21:00:00,27.2,88.6,0,20.2,,,28,8b5d05953b8351251b9d019745170c9b
PEDONG,24-Aug-2014,20:00:00,27.2,88.6,0,20.4,,,28,8b5d05953b8351251b9d019745170c9b
CHENGMARI TEA GARDEN,24-Aug-2014,20:00:00,26.9,89,0,,,,28,8b5d05953b8351251b9d019745170c9b
DEGANGA,24-Aug-2014,20:00:00,22.7,88.7,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAGATBALLAVPUR,24-Aug-2014,20:00:00,22.7,88.1,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAYANTI,24-Aug-2014,20:00:00,26.7,89.6,0,24.7,,,28,8b5d05953b8351251b9d019745170c9b
KADAMDEULI,24-Aug-2014,20:00:00,23.1,86.8,0,,,,28,8b5d05953b8351251b9d019745170c9b
SILIGURI,24-Aug-2014,20:00:00,26.5,88.4,38,,,,28,8b5d05953b8351251b9d019745170c9b
CHENGMARI TEA GARDEN,24-Aug-2014,19:00:00,26.9,89,0,,,,28,8b5d05953b8351251b9d019745170c9b
DEGANGA,24-Aug-2014,19:00:00,22.7,88.7,0,,,,28,8b5d05953b8351251b9d019745170c9b
KADAMDEULI,24-Aug-2014,19:00:00,23.1,86.8,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAGATBALLAVPUR,24-Aug-2014,19:00:00,22.7,88.1,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAYANTI,24-Aug-2014,19:00:00,26.7,89.6,0,24.8,,,28,8b5d05953b8351251b9d019745170c9b
PEDONG,24-Aug-2014,19:00:00,27.2,88.6,0,20.4,,,28,8b5d05953b8351251b9d019745170c9b
SILIGURI,24-Aug-2014,19:00:00,26.5,88.4,25,,,,28,8b5d05953b8351251b9d019745170c9b
CHENGMARI TEA GARDEN,24-Aug-2014,18:00:00,26.9,89,0,,,,28,8b5d05953b8351251b9d019745170c9b
DEGANGA,24-Aug-2014,18:00:00,22.7,88.7,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAGATBALLAVPUR,24-Aug-2014,18:00:00,22.7,88.1,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAYANTI,24-Aug-2014,18:00:00,26.7,89.6,0,24.9,,,28,8b5d05953b8351251b9d019745170c9b
KADAMDEULI,24-Aug-2014,18:00:00,23.1,86.8,0,,,,28,8b5d05953b8351251b9d019745170c9b
PEDONG,24-Aug-2014,18:00:00,27.2,88.6,0,20.9,,,28,8b5d05953b8351251b9d019745170c9b
SILIGURI,24-Aug-2014,18:00:00,26.5,88.4,11,,,,28,8b5d05953b8351251b9d019745170c9b
DEGANGA,24-Aug-2014,17:00:00,22.7,88.7,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAYANTI,24-Aug-2014,17:00:00,26.7,89.6,0,25,,,28,8b5d05953b8351251b9d019745170c9b
KADAMDEULI,24-Aug-2014,17:00:00,23.1,86.8,0,,,,28,8b5d05953b8351251b9d019745170c9b
PEDONG,24-Aug-2014,17:00:00,27.2,88.6,0,20.7,,,28,8b5d05953b8351251b9d019745170c9b
SILIGURI,24-Aug-2014,17:00:00,26.5,88.4,9,,,,28,8b5d05953b8351251b9d019745170c9b
CHENGMARI TEA GARDEN,24-Aug-2014,16:00:00,26.9,89,0,,,,28,8b5d05953b8351251b9d019745170c9b
DEGANGA,24-Aug-2014,16:00:00,22.7,88.7,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAGATBALLAVPUR,24-Aug-2014,16:00:00,22.7,88.1,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAYANTI,24-Aug-2014,16:00:00,26.7,89.6,0,25.1,,,28,8b5d05953b8351251b9d019745170c9b
KADAMDEULI,24-Aug-2014,16:00:00,23.1,86.8,0,,,,28,8b5d05953b8351251b9d019745170c9b
PEDONG,24-Aug-2014,16:00:00,27.2,88.6,0,21.2,,,28,8b5d05953b8351251b9d019745170c9b
SILIGURI,24-Aug-2014,16:00:00,26.5,88.4,7,,,,28,8b5d05953b8351251b9d019745170c9b
CHENGMARI TEA GARDEN,24-Aug-2014,15:00:00,26.9,89,0,,,,28,8b5d05953b8351251b9d019745170c9b
DEGANGA,24-Aug-2014,15:00:00,22.7,88.7,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAGATBALLAVPUR,24-Aug-2014,15:00:00,22.7,88.1,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAYANTI,24-Aug-2014,15:00:00,26.7,89.6,0,25.2,,,28,8b5d05953b8351251b9d019745170c9b
KADAMDEULI,24-Aug-2014,15:00:00,23.1,86.8,0,,,,28,8b5d05953b8351251b9d019745170c9b
PEDONG,24-Aug-2014,15:00:00,27.2,88.6,0,21,,,28,8b5d05953b8351251b9d019745170c9b
SILIGURI,24-Aug-2014,15:00:00,26.5,88.4,6,,,,28,8b5d05953b8351251b9d019745170c9b
CHENGMARI TEA GARDEN,24-Aug-2014,14:00:00,26.9,89,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAYANTI,24-Aug-2014,14:00:00,26.7,89.6,0,25.6,,,28,8b5d05953b8351251b9d019745170c9b
JAGATBALLAVPUR,24-Aug-2014,14:00:00,22.7,88.1,0,,,,28,8b5d05953b8351251b9d019745170c9b
KADAMDEULI,24-Aug-2014,14:00:00,23.1,86.8,0,,,,28,8b5d05953b8351251b9d019745170c9b
PEDONG,24-Aug-2014,14:00:00,27.2,88.6,0,20.8,,,28,8b5d05953b8351251b9d019745170c9b
CHENGMARI TEA GARDEN,24-Aug-2014,13:00:00,26.9,89,0,,,,28,8b5d05953b8351251b9d019745170c9b
DEGANGA,24-Aug-2014,13:00:00,22.7,88.7,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAGATBALLAVPUR,24-Aug-2014,13:00:00,22.7,88.1,0,,,,28,8b5d05953b8351251b9d019745170c9b
KADAMDEULI,24-Aug-2014,13:00:00,23.1,86.8,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAYANTI,24-Aug-2014,12:00:00,26.7,89.6,0,26.3,31.2,,28,8b5d05953b8351251b9d019745170c9b
JAGATBALLAVPUR,24-Aug-2014,12:00:00,22.7,88.1,0,,,,28,8b5d05953b8351251b9d019745170c9b
DEGANGA,24-Aug-2014,12:00:00,22.7,88.7,0,,,,28,8b5d05953b8351251b9d019745170c9b
CHENGMARI TEA GARDEN,24-Aug-2014,12:00:00,26.9,89,0,,,,28,8b5d05953b8351251b9d019745170c9b
PEDONG,24-Aug-2014,11:00:00,27.2,88.6,0,21.4,,,28,8b5d05953b8351251b9d019745170c9b
JAYANTI,24-Aug-2014,11:00:00,26.7,89.6,0,27.2,,,28,8b5d05953b8351251b9d019745170c9b
JAGATBALLAVPUR,24-Aug-2014,11:00:00,22.7,88.1,0,,,,28,8b5d05953b8351251b9d019745170c9b
DEGANGA,24-Aug-2014,11:00:00,22.7,88.7,0,,,,28,8b5d05953b8351251b9d019745170c9b
CHENGMARI TEA GARDEN,24-Aug-2014,11:00:00,26.9,89,0,,,,28,8b5d05953b8351251b9d019745170c9b
CHENGMARI TEA GARDEN,24-Aug-2014,10:00:00,26.9,89,0,,,,28,8b5d05953b8351251b9d019745170c9b
DEGANGA,24-Aug-2014,10:00:00,22.7,88.7,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAGATBALLAVPUR,24-Aug-2014,10:00:00,22.7,88.1,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAYANTI,24-Aug-2014,10:00:00,26.7,89.6,0,28.4,,,28,8b5d05953b8351251b9d019745170c9b
KADAMDEULI,24-Aug-2014,10:00:00,23.1,86.8,0,,,,28,8b5d05953b8351251b9d019745170c9b
PEDONG,24-Aug-2014,10:00:00,27.2,88.6,0,21.5,,,28,8b5d05953b8351251b9d019745170c9b
CHENGMARI TEA GARDEN,24-Aug-2014,09:00:00,26.9,89,0,,,,28,8b5d05953b8351251b9d019745170c9b
DEGANGA,24-Aug-2014,09:00:00,22.7,88.7,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAGATBALLAVPUR,24-Aug-2014,09:00:00,22.7,88.1,0,,,,28,8b5d05953b8351251b9d019745170c9b
KADAMDEULI,24-Aug-2014,09:00:00,23.1,86.8,0,,,,28,8b5d05953b8351251b9d019745170c9b
PEDONG,24-Aug-2014,09:00:00,27.2,88.6,0,22.2,,,28,8b5d05953b8351251b9d019745170c9b
JAYANTI,24-Aug-2014,09:00:00,26.7,89.6,0,28.9,,,28,8b5d05953b8351251b9d019745170c9b
CHENGMARI TEA GARDEN,24-Aug-2014,08:00:00,26.9,89,0,,,,28,8b5d05953b8351251b9d019745170c9b
DEGANGA,24-Aug-2014,08:00:00,22.7,88.7,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAGATBALLAVPUR,24-Aug-2014,08:00:00,22.7,88.1,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAYANTI,24-Aug-2014,08:00:00,26.7,89.6,0,30,,,28,8b5d05953b8351251b9d019745170c9b
KADAMDEULI,24-Aug-2014,08:00:00,23.1,86.8,0,,,,28,8b5d05953b8351251b9d019745170c9b
CHENGMARI TEA GARDEN,24-Aug-2014,07:00:00,26.9,89,0,,,,28,8b5d05953b8351251b9d019745170c9b
DEGANGA,24-Aug-2014,07:00:00,22.7,88.7,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAGATBALLAVPUR,24-Aug-2014,07:00:00,22.7,88.1,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAYANTI,24-Aug-2014,07:00:00,26.7,89.6,0,29.9,,,28,8b5d05953b8351251b9d019745170c9b
KADAMDEULI,24-Aug-2014,07:00:00,23.1,86.8,0,,,,28,8b5d05953b8351251b9d019745170c9b
SILIGURI,24-Aug-2014,07:00:00,26.5,88.4,0,,,,28,8b5d05953b8351251b9d019745170c9b
CHENGMARI TEA GARDEN,24-Aug-2014,06:00:00,26.9,89,0,,,,28,8b5d05953b8351251b9d019745170c9b
DEGANGA,24-Aug-2014,06:00:00,22.7,88.7,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAGATBALLAVPUR,24-Aug-2014,06:00:00,22.7,88.1,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAYANTI,24-Aug-2014,06:00:00,26.7,89.6,0,29.7,,,28,8b5d05953b8351251b9d019745170c9b
PEDONG,24-Aug-2014,06:00:00,27.2,88.6,0,22.2,,,28,8b5d05953b8351251b9d019745170c9b
SILIGURI,24-Aug-2014,06:00:00,26.5,88.4,0,,,,28,8b5d05953b8351251b9d019745170c9b
KADAMDEULI,24-Aug-2014,06:00:00,23.1,86.8,0,,,,28,8b5d05953b8351251b9d019745170c9b
CHENGMARI TEA GARDEN,24-Aug-2014,05:00:00,26.9,89,0,,,,28,8b5d05953b8351251b9d019745170c9b
DEGANGA,24-Aug-2014,05:00:00,22.7,88.7,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAGATBALLAVPUR,24-Aug-2014,05:00:00,22.7,88.1,0,,,,28,8b5d05953b8351251b9d019745170c9b
KADAMDEULI,24-Aug-2014,05:00:00,23.1,86.8,0,,,,28,8b5d05953b8351251b9d019745170c9b
PEDONG,24-Aug-2014,05:00:00,27.2,88.6,0,21.2,,,28,8b5d05953b8351251b9d019745170c9b
SILIGURI,24-Aug-2014,05:00:00,26.5,88.4,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAYANTI,24-Aug-2014,05:00:00,26.7,89.6,0,29.3,,,28,8b5d05953b8351251b9d019745170c9b
DEGANGA,24-Aug-2014,04:00:00,22.7,88.7,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAYANTI,24-Aug-2014,04:00:00,26.7,89.6,0,28.8,,,28,8b5d05953b8351251b9d019745170c9b
KADAMDEULI,24-Aug-2014,04:00:00,23.1,86.8,0,,,,28,8b5d05953b8351251b9d019745170c9b
PEDONG,24-Aug-2014,04:00:00,27.2,88.6,0,21.4,,,28,8b5d05953b8351251b9d019745170c9b
SILIGURI,24-Aug-2014,04:00:00,26.5,88.4,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAGATBALLAVPUR,24-Aug-2014,04:00:00,22.7,88.1,0,,,,28,8b5d05953b8351251b9d019745170c9b
CHENGMARI TEA GARDEN,24-Aug-2014,04:00:00,26.9,89,0,,,,28,8b5d05953b8351251b9d019745170c9b
CHENGMARI TEA GARDEN,24-Aug-2014,03:00:00,26.9,89,8,,,,28,8b5d05953b8351251b9d019745170c9b
DEGANGA,24-Aug-2014,03:00:00,22.7,88.7,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAGATBALLAVPUR,24-Aug-2014,03:00:00,22.7,88.1,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAYANTI,24-Aug-2014,03:00:00,26.7,89.6,0,26.8,,23.6,28,8b5d05953b8351251b9d019745170c9b
KADAMDEULI,24-Aug-2014,03:00:00,23.1,86.8,0,,,,28,8b5d05953b8351251b9d019745170c9b
PEDONG,24-Aug-2014,03:00:00,27.2,88.6,0,21.2,,20.3,28,8b5d05953b8351251b9d019745170c9b
SILIGURI,24-Aug-2014,03:00:00,26.5,88.4,2,,,,28,8b5d05953b8351251b9d019745170c9b
CHENGMARI TEA GARDEN,24-Aug-2014,02:00:00,26.9,89,8,,,,28,8b5d05953b8351251b9d019745170c9b
PEDONG,24-Aug-2014,02:00:00,27.2,88.6,0,20.6,,,28,8b5d05953b8351251b9d019745170c9b
DEGANGA,24-Aug-2014,02:00:00,22.7,88.7,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAGATBALLAVPUR,24-Aug-2014,02:00:00,22.7,88.1,0,,,,28,8b5d05953b8351251b9d019745170c9b
KADAMDEULI,24-Aug-2014,02:00:00,23.1,86.8,0,,,,28,8b5d05953b8351251b9d019745170c9b
SILIGURI,24-Aug-2014,02:00:00,26.5,88.4,2,,,,28,8b5d05953b8351251b9d019745170c9b
CHENGMARI TEA GARDEN,24-Aug-2014,01:00:00,26.9,89,8,,,,28,8b5d05953b8351251b9d019745170c9b
DEGANGA,24-Aug-2014,01:00:00,22.7,88.7,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAYANTI,24-Aug-2014,01:00:00,26.7,89.6,0,24,,,28,8b5d05953b8351251b9d019745170c9b
KADAMDEULI,24-Aug-2014,01:00:00,23.1,86.8,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAGATBALLAVPUR,24-Aug-2014,01:00:00,22.7,88.1,0,,,,28,8b5d05953b8351251b9d019745170c9b
SILIGURI,24-Aug-2014,01:00:00,26.5,88.4,2,,,,28,8b5d05953b8351251b9d019745170c9b
PEDONG,24-Aug-2014,01:00:00,27.2,88.6,0,20.9,,,28,8b5d05953b8351251b9d019745170c9b
SILIGURI,24-Aug-2014,00:00:00,26.5,88.4,2,,,,28,8b5d05953b8351251b9d019745170c9b
CHENGMARI TEA GARDEN,24-Aug-2014,00:00:00,26.9,89,8,,,,28,8b5d05953b8351251b9d019745170c9b
KADAMDEULI,24-Aug-2014,00:00:00,23.1,86.8,0,,,,28,8b5d05953b8351251b9d019745170c9b
JAYANTI,24-Aug-2014,00:00:00,26.7,89.6,0,23.7,,,28,8b5d05953b8351251b9d019745170c9b
JAGATBALLAVPUR,24-Aug-2014,00:00:00,22.7,88.1,0,,,,28,8b5d05953b8351251b9d019745170c9b
DEGANGA,24-Aug-2014,00:00:00,22.7,88.7,0,,,,28,8b5d05953b8351251b9d019745170c9b
PEDONG,24-Aug-2014,00:00:00,27.2,88.6,0,20.6,,,28,8b5d05953b8351251b9d019745170c9b
