station_id,date,time_utc,lat,lng,rainfall,temp,temp_max,temp_min,state,url_hash
KURUD,8-Jun-2014,23:00:00,20.8,81.7,0,,,,5,4d39d160414364eeb6b27605f18169da
TILDA,8-Jun-2014,23:00:00,21.6,81.4,0,,,,5,4d39d160414364eeb6b27605f18169da
MOHALA,8-Jun-2014,23:00:00,20.6,80.7,0,,,,5,4d39d160414364eeb6b27605f18169da
GARIABAND,8-Jun-2014,23:00:00,20.6,82,0,,,,5,4d39d160414364eeb6b27605f18169da
NAYA RAIPUR,8-Jun-2014,23:00:00,21.2,81.9,0,,,,5,4d39d160414364eeb6b27605f18169da
BAGICHA,8-Jun-2014,23:00:00,23,83.6,0,,,,5,4d39d160414364eeb6b27605f18169da
KATGHORA,8-Jun-2014,23:00:00,22.5,82.6,0,,,,5,4d39d160414364eeb6b27605f18169da
KURUD,8-Jun-2014,22:00:00,20.8,81.7,0,,,,5,4d39d160414364eeb6b27605f18169da
BAGICHA,8-Jun-2014,22:00:00,23,83.6,0,,,,5,4d39d160414364eeb6b27605f18169da
MOHALA,8-Jun-2014,22:00:00,20.6,80.7,0,,,,5,4d39d160414364eeb6b27605f18169da
NAYA RAIPUR,8-Jun-2014,22:00:00,21.2,81.9,0,,,,5,4d39d160414364eeb6b27605f18169da
KATGHORA,8-Jun-2014,22:00:00,22.5,82.6,0,,,,5,4d39d160414364eeb6b27605f18169da
TILDA,8-Jun-2014,22:00:00,21.6,81.4,0,,,,5,4d39d160414364eeb6b27605f18169da
GARIABAND,8-Jun-2014,22:00:00,20.6,82,0,,,,5,4d39d160414364eeb6b27605f18169da
BAGICHA,8-Jun-2014,21:00:00,23,83.6,0,,,,5,4d39d160414364eeb6b27605f18169da
NAYA RAIPUR,8-Jun-2014,21:00:00,21.2,81.9,0,,,,5,4d39d160414364eeb6b27605f18169da
TILDA,8-Jun-2014,21:00:00,21.6,81.4,0,,,,5,4d39d160414364eeb6b27605f18169da
GARIABAND,8-Jun-2014,21:00:00,20.6,82,0,,,,5,4d39d160414364eeb6b27605f18169da
MOHALA,8-Jun-2014,21:00:00,20.6,80.7,0,,,,5,4d39d160414364eeb6b27605f18169da
KURUD,8-Jun-2014,21:00:00,20.8,81.7,0,,,,5,4d39d160414364eeb6b27605f18169da
BAGICHA,8-Jun-2014,20:00:00,23,83.6,0,,,,5,4d39d160414364eeb6b27605f18169da
NAYA RAIPUR,8-Jun-2014,20:00:00,21.2,81.9,0,,,,5,4d39d160414364eeb6b27605f18169da
TILDA,8-Jun-2014,20:00:00,21.6,81.4,0,,,,5,4d39d160414364eeb6b27605f18169da
GARIABAND,8-Jun-2014,20:00:00,20.6,82,0,,,,5,4d39d160414364eeb6b27605f18169da
MOHALA,8-Jun-2014,20:00:00,20.6,80.7,0,,,,5,4d39d160414364eeb6b27605f18169da
BAGICHA,8-Jun-2014,19:00:00,23,83.6,0,,,,5,4d39d160414364eeb6b27605f18169da
KATGHORA,8-Jun-2014,19:00:00,22.5,82.6,0,,,,5,4d39d160414364eeb6b27605f18169da
MOHALA,8-Jun-2014,19:00:00,20.6,80.7,0,,,,5,4d39d160414364eeb6b27605f18169da
KURUD,8-Jun-2014,19:00:00,20.8,81.7,0,,,,5,4d39d160414364eeb6b27605f18169da
GARIABAND,8-Jun-2014,19:00:00,20.6,82,0,,,,5,4d39d160414364eeb6b27605f18169da
BAGICHA,8-Jun-2014,18:00:00,23,83.6,0,,,,5,4d39d160414364eeb6b27605f18169da
KURUD,8-Jun-2014,18:00:00,20.8,81.7,0,,,,5,4d39d160414364eeb6b27605f18169da
NAYA RAIPUR,8-Jun-2014,18:00:00,21.2,81.9,0,,,,5,4d39d160414364eeb6b27605f18169da
TILDA,8-Jun-2014,18:00:00,21.6,81.4,0,,,,5,4d39d160414364eeb6b27605f18169da
GARIABAND,8-Jun-2014,18:00:00,20.6,82,0,,,,5,4d39d160414364eeb6b27605f18169da
KATGHORA,8-Jun-2014,18:00:00,22.5,82.6,0,,,,5,4d39d160414364eeb6b27605f18169da
MOHALA,8-Jun-2014,18:00:00,20.6,80.7,0,,,,5,4d39d160414364eeb6b27605f18169da
KURUD,8-Jun-2014,17:00:00,20.8,81.7,0,,,,5,4d39d160414364eeb6b27605f18169da
BAGICHA,8-Jun-2014,17:00:00,23,83.6,0,,,,5,4d39d160414364eeb6b27605f18169da
NAYA RAIPUR,8-Jun-2014,17:00:00,21.2,81.9,0,,,,5,4d39d160414364eeb6b27605f18169da
GARIABAND,8-Jun-2014,17:00:00,20.6,82,0,,,,5,4d39d160414364eeb6b27605f18169da
KATGHORA,8-Jun-2014,17:00:00,22.5,82.6,0,,,,5,4d39d160414364eeb6b27605f18169da
MOHALA,8-Jun-2014,17:00:00,20.6,80.7,0,,,,5,4d39d160414364eeb6b27605f18169da
TILDA,8-Jun-2014,17:00:00,21.6,81.4,0,,,,5,4d39d160414364eeb6b27605f18169da
BAGICHA,8-Jun-2014,16:00:00,23,83.6,0,,,,5,4d39d160414364eeb6b27605f18169da
KURUD,8-Jun-2014,16:00:00,20.8,81.7,0,,,,5,4d39d160414364eeb6b27605f18169da
NAYA RAIPUR,8-Jun-2014,16:00:00,21.2,81.9,0,,,,5,4d39d160414364eeb6b27605f18169da
TILDA,8-Jun-2014,16:00:00,21.6,81.4,0,,,,5,4d39d160414364eeb6b27605f18169da
GARIABAND,8-Jun-2014,16:00:00,20.6,82,0,,,,5,4d39d160414364eeb6b27605f18169da
KATGHORA,8-Jun-2014,16:00:00,22.5,82.6,0,,,,5,4d39d160414364eeb6b27605f18169da
MOHALA,8-Jun-2014,16:00:00,20.6,80.7,0,,,,5,4d39d160414364eeb6b27605f18169da
BAGICHA,8-Jun-2014,15:00:00,23,83.6,0,,,,5,4d39d160414364eeb6b27605f18169da
KURUD,8-Jun-2014,15:00:00,20.8,81.7,0,,,,5,4d39d160414364eeb6b27605f18169da
NAYA RAIPUR,8-Jun-2014,15:00:00,21.2,81.9,0,,,,5,4d39d160414364eeb6b27605f18169da
