station_id,date,time_utc,lat,lng,rainfall,temp,temp_max,temp_min,state,url_hash
AROGYAVARAM,8-Jun-2014,23:00:00,13.6,78.5,0,26.4,,,2,4420684d0b75abc4734ba6026107e429
ASIFABAD,8-Jun-2014,23:00:00,19.4,79.3,0,,,,2,4420684d0b75abc4734ba6026107e429
GOLKONDA,8-Jun-2014,23:00:00,17.4,78.4,0,,,,2,4420684d0b75abc4734ba6026107e429
KOMARADA,8-Jun-2014,23:00:00,18.9,83.4,0,,,,2,4420684d0b75abc4734ba6026107e429
MAHBUBNAGAR,8-Jun-2014,23:00:00,16.8,78,0,27.9,,,2,4420684d0b75abc4734ba6026107e429
MEDAK,8-Jun-2014,23:00:00,18,78.3,0,29.8,,,2,4420684d0b75abc4734ba6026107e429
RAJAHMUNDRY,8-Jun-2014,23:00:00,17.1,81.6,0,29.6,,,2,4420684d0b75abc4734ba6026107e429
YEMMIGANUR,8-Jun-2014,23:00:00,15.7,77.4,0,27.3,,,2,4420684d0b75abc4734ba6026107e429
ARAKU VALLEY,8-Jun-2014,23:00:00,18.3,82.9,0,25.2,,,2,4420684d0b75abc4734ba6026107e429
AVANIGADDA,8-Jun-2014,23:00:00,16,80.9,0,,,,2,4420684d0b75abc4734ba6026107e429
CHEVELLA,8-Jun-2014,23:00:00,17.3,78.1,0,27.1,,,2,4420684d0b75abc4734ba6026107e429
DEVARAKONDA,8-Jun-2014,23:00:00,16.7,79.9,0,,,,2,4420684d0b75abc4734ba6026107e429
GADWAL,8-Jun-2014,23:00:00,16.2,78,0,,,,2,4420684d0b75abc4734ba6026107e429
GIDDALUR,8-Jun-2014,23:00:00,15.4,78.9,0,,,,2,4420684d0b75abc4734ba6026107e429
GARIKAPADU,8-Jun-2014,23:00:00,17,80,0,,,,2,4420684d0b75abc4734ba6026107e429
GUNTAKAL,8-Jun-2014,23:00:00,15.2,77.4,0,,,,2,4420684d0b75abc4734ba6026107e429
JANGAON,8-Jun-2014,23:00:00,17.7,79.2,0,,,,2,4420684d0b75abc4734ba6026107e429
JANGAMESHWARAPURAM,8-Jun-2014,23:00:00,16.5,79.4,0,,,,2,4420684d0b75abc4734ba6026107e429
KAMAREDDY,8-Jun-2014,23:00:00,18.3,78.3,0,,,,2,4420684d0b75abc4734ba6026107e429
KUNARAM,8-Jun-2014,23:00:00,18.5,79.5,0,31.8,,,2,4420684d0b75abc4734ba6026107e429
KOLLAPUR,8-Jun-2014,23:00:00,16.1,78.3,0,,,,2,4420684d0b75abc4734ba6026107e429
KODANGAL,8-Jun-2014,23:00:00,17.1,77.6,0,26.9,,,2,4420684d0b75abc4734ba6026107e429
KUKATPALLY JNTU,8-Jun-2014,23:00:00,17.5,78.4,0,,,,2,4420684d0b75abc4734ba6026107e429
KALWAKURTHY,8-Jun-2014,23:00:00,16.7,78.5,0,,,,2,4420684d0b75abc4734ba6026107e429
MALYAL,8-Jun-2014,23:00:00,17.6,80,0,,,,2,4420684d0b75abc4734ba6026107e429
MADAKASIRA,8-Jun-2014,23:00:00,13.9,77.3,0,24.8,,,2,4420684d0b75abc4734ba6026107e429
MULUGU,8-Jun-2014,23:00:00,18.2,79.9,0,,,,2,4420684d0b75abc4734ba6026107e429
NARAYANKHED,8-Jun-2014,23:00:00,18,77.8,0,,,,2,4420684d0b75abc4734ba6026107e429
NANDIGAMA,8-Jun-2014,23:00:00,16.8,80.3,0,34.1,,,2,4420684d0b75abc4734ba6026107e429
NAGARJUNA SAGAR,8-Jun-2014,23:00:00,16.6,79.3,0,,,,2,4420684d0b75abc4734ba6026107e429
NALGONDA,8-Jun-2014,23:00:00,17,79.3,0,32.7,,,2,4420684d0b75abc4734ba6026107e429
PODALAKUR,8-Jun-2014,23:00:00,14.4,79.7,0,33.9,,,2,4420684d0b75abc4734ba6026107e429
PRATHIPADU,8-Jun-2014,23:00:00,17.2,82.2,0,,,,2,4420684d0b75abc4734ba6026107e429
SHADNAGAR,8-Jun-2014,23:00:00,17.1,78.2,0,,,,2,4420684d0b75abc4734ba6026107e429
SERILINGAMPALLY,8-Jun-2014,23:00:00,17.4,78.3,0,,,,2,4420684d0b75abc4734ba6026107e429
TIRUVURU,8-Jun-2014,23:00:00,17.1,80.6,0,,,,2,4420684d0b75abc4734ba6026107e429
VIJAYAWADA,8-Jun-2014,23:00:00,16.5,80.6,0,,,,2,4420684d0b75abc4734ba6026107e429
YACHARAM,8-Jun-2014,23:00:00,17,78.6,0,,,,2,4420684d0b75abc4734ba6026107e429
YERRAGONDAPALEM,8-Jun-2014,23:00:00,16,79.3,0,,,,2,4420684d0b75abc4734ba6026107e429
NIRMAL,8-Jun-2014,23:00:00,19.1,78.3,0,,,,2,4420684d0b75abc4734ba6026107e429
ZAHEERABAD,8-Jun-2014,23:00:00,17.7,77.6,0,27.2,,,2,4420684d0b75abc4734ba6026107e429
MEDCHAL,8-Jun-2014,23:00:00,17.6,78.5,0,,,,2,4420684d0b75abc4734ba6026107e429
MADHIRA,8-Jun-2014,23:00:00,16.6,80.2,0,,,,2,4420684d0b75abc4734ba6026107e429
NARASARAOPET,8-Jun-2014,23:00:00,16,80,0,,,,2,4420684d0b75abc4734ba6026107e429
PALAKONDA,8-Jun-2014,23:00:00,18.6,83.8,0,,,,2,4420684d0b75abc4734ba6026107e429
PALASA MANDAL,8-Jun-2014,23:00:00,18.8,84.4,0,,,,2,4420684d0b75abc4734ba6026107e429
SIDDIPET,8-Jun-2014,23:00:00,18.1,78.8,0,,,,2,4420684d0b75abc4734ba6026107e429
UPPAL,8-Jun-2014,23:00:00,17.4,78.6,0,,,,2,4420684d0b75abc4734ba6026107e429
AROGYAVARAM,8-Jun-2014,22:00:00,13.6,78.5,0,26.4,,,2,4420684d0b75abc4734ba6026107e429
ASIFABAD,8-Jun-2014,22:00:00,19.4,79.3,0,,,,2,4420684d0b75abc4734ba6026107e429
GOLKONDA,8-Jun-2014,22:00:00,17.4,78.4,0,,,,2,4420684d0b75abc4734ba6026107e429
KOMARADA,8-Jun-2014,22:00:00,18.9,83.4,0,,,,2,4420684d0b75abc4734ba6026107e429
MAHBUBNAGAR,8-Jun-2014,22:00:00,16.8,78,0,28.3,,,2,4420684d0b75abc4734ba6026107e429
MEDAK,8-Jun-2014,22:00:00,18,78.3,0,30.7,,,2,4420684d0b75abc4734ba6026107e429
NIRMAL,8-Jun-2014,22:00:00,19.1,78.3,0,,,,2,4420684d0b75abc4734ba6026107e429
ZAHEERABAD,8-Jun-2014,22:00:00,17.7,77.6,0,27.7,,,2,4420684d0b75abc4734ba6026107e429
AMBAJIPETA,8-Jun-2014,22:00:00,16.6,81.9,0,30.1,,,2,4420684d0b75abc4734ba6026107e429
ARAKU VALLEY,8-Jun-2014,22:00:00,18.3,82.9,0,25.4,,,2,4420684d0b75abc4734ba6026107e429
ANANTHRAJPETA,8-Jun-2014,22:00:00,14,79.3,0,31.9,,,2,4420684d0b75abc4734ba6026107e429
CHEVELLA,8-Jun-2014,22:00:00,17.3,78.1,0,27.5,,,2,4420684d0b75abc4734ba6026107e429
DEVARAKONDA,8-Jun-2014,22:00:00,16.7,79.9,0,,,,2,4420684d0b75abc4734ba6026107e429
GADWAL,8-Jun-2014,22:00:00,16.2,78,0,,,,2,4420684d0b75abc4734ba6026107e429
GIDDALUR,8-Jun-2014,22:00:00,15.4,78.9,0,,,,2,4420684d0b75abc4734ba6026107e429
GARIKAPADU,8-Jun-2014,22:00:00,17,80,0,,,,2,4420684d0b75abc4734ba6026107e429
GUNTAKAL,8-Jun-2014,22:00:00,15.2,77.4,0,,,,2,4420684d0b75abc4734ba6026107e429
JANGAON,8-Jun-2014,22:00:00,17.7,79.2,0,,,,2,4420684d0b75abc4734ba6026107e429
JANGAMESHWARAPURAM,8-Jun-2014,22:00:00,16.5,79.4,0,,,,2,4420684d0b75abc4734ba6026107e429
KAMAREDDY,8-Jun-2014,22:00:00,18.3,78.3,0,,,,2,4420684d0b75abc4734ba6026107e429
KUNARAM,8-Jun-2014,22:00:00,18.5,79.5,0,30.7,,,2,4420684d0b75abc4734ba6026107e429
KOLLAPUR,8-Jun-2014,22:00:00,16.1,78.3,0,,,,2,4420684d0b75abc4734ba6026107e429
KUKATPALLY JNTU,8-Jun-2014,22:00:00,17.5,78.4,0,,,,2,4420684d0b75abc4734ba6026107e429
KALWAKURTHY,8-Jun-2014,22:00:00,16.7,78.5,0,,,,2,4420684d0b75abc4734ba6026107e429
MALYAL,8-Jun-2014,22:00:00,17.6,80,0,,,,2,4420684d0b75abc4734ba6026107e429
MEDCHAL,8-Jun-2014,22:00:00,17.6,78.5,0,,,,2,4420684d0b75abc4734ba6026107e429
MADHIRA,8-Jun-2014,22:00:00,16.6,80.2,0,,,,2,4420684d0b75abc4734ba6026107e429
MADAKASIRA,8-Jun-2014,22:00:00,13.9,77.3,0,24.9,,,2,4420684d0b75abc4734ba6026107e429
MULUGU,8-Jun-2014,22:00:00,18.2,79.9,0,,,,2,4420684d0b75abc4734ba6026107e429
NARAYANKHED,8-Jun-2014,22:00:00,18,77.8,480,,,,2,4420684d0b75abc4734ba6026107e429
NANDIGAMA,8-Jun-2014,22:00:00,16.8,80.3,0,32.7,,,2,4420684d0b75abc4734ba6026107e429
NAGARJUNA SAGAR,8-Jun-2014,22:00:00,16.6,79.3,0,,,,2,4420684d0b75abc4734ba6026107e429
NARASARAOPET,8-Jun-2014,22:00:00,16,80,0,,,,2,4420684d0b75abc4734ba6026107e429
PODALAKUR,8-Jun-2014,22:00:00,14.4,79.7,0,34.4,,,2,4420684d0b75abc4734ba6026107e429
PALAKONDA,8-Jun-2014,22:00:00,18.6,83.8,0,,,,2,4420684d0b75abc4734ba6026107e429
PALASA MANDAL,8-Jun-2014,22:00:00,18.8,84.4,0,,,,2,4420684d0b75abc4734ba6026107e429
PRATHIPADU,8-Jun-2014,22:00:00,17.2,82.2,0,,,,2,4420684d0b75abc4734ba6026107e429
RAMACHANDRAPURAM,8-Jun-2014,22:00:00,17.5,78.6,0,,,,2,4420684d0b75abc4734ba6026107e429
SHADNAGAR,8-Jun-2014,22:00:00,17.1,78.2,0,,,,2,4420684d0b75abc4734ba6026107e429
UPPAL,8-Jun-2014,22:00:00,17.4,78.6,0,,,,2,4420684d0b75abc4734ba6026107e429
YACHARAM,8-Jun-2014,22:00:00,17,78.6,0,,,,2,4420684d0b75abc4734ba6026107e429
YERRAGONDAPALEM,8-Jun-2014,22:00:00,16,79.3,0,,,,2,4420684d0b75abc4734ba6026107e429
YEMMIGANUR,8-Jun-2014,22:00:00,15.7,77.4,0,27.6,,,2,4420684d0b75abc4734ba6026107e429
AVANIGADDA,8-Jun-2014,22:00:00,16,80.9,0,,,,2,4420684d0b75abc4734ba6026107e429
KODANGAL,8-Jun-2014,22:00:00,17.1,77.6,0,27.5,,,2,4420684d0b75abc4734ba6026107e429
SIDDIPET,8-Jun-2014,22:00:00,18.1,78.8,0,,,,2,4420684d0b75abc4734ba6026107e429
TIRUVURU,8-Jun-2014,22:00:00,17.1,80.6,0,,,,2,4420684d0b75abc4734ba6026107e429
VIJAYAWADA,8-Jun-2014,22:00:00,16.5,80.6,0,,,,2,4420684d0b75abc4734ba6026107e429
ASIFABAD,8-Jun-2014,21:00:00,19.4,79.3,0,,,,2,4420684d0b75abc4734ba6026107e429
GOLKONDA,8-Jun-2014,21:00:00,17.4,78.4,0,,,,2,4420684d0b75abc4734ba6026107e429
KOMARADA,8-Jun-2014,21:00:00,18.9,83.4,0,,,,2,4420684d0b75abc4734ba6026107e429
MAHBUBNAGAR,8-Jun-2014,21:00:00,16.8,78,0,28.7,,,2,4420684d0b75abc4734ba6026107e429
MEDAK,8-Jun-2014,21:00:00,18,78.3,0,31.3,,,2,4420684d0b75abc4734ba6026107e429
NIRMAL,8-Jun-2014,21:00:00,19.1,78.3,0,,,,2,4420684d0b75abc4734ba6026107e429
RAJAHMUNDRY,8-Jun-2014,21:00:00,17.1,81.6,0,29.6,,,2,4420684d0b75abc4734ba6026107e429
YEMMIGANUR,8-Jun-2014,21:00:00,15.7,77.4,0,28.1,,,2,4420684d0b75abc4734ba6026107e429
ZAHEERABAD,8-Jun-2014,21:00:00,17.7,77.6,0,28.7,,,2,4420684d0b75abc4734ba6026107e429
AMBAJIPETA,8-Jun-2014,21:00:00,16.6,81.9,0,30.2,,,2,4420684d0b75abc4734ba6026107e429
ARAKU VALLEY,8-Jun-2014,21:00:00,18.3,82.9,0,26.2,,,2,4420684d0b75abc4734ba6026107e429
ANANTHRAJPETA,8-Jun-2014,21:00:00,14,79.3,0,32.9,,,2,4420684d0b75abc4734ba6026107e429
AVANIGADDA,8-Jun-2014,21:00:00,16,80.9,0,,,,2,4420684d0b75abc4734ba6026107e429
CHEVELLA,8-Jun-2014,21:00:00,17.3,78.1,0,28.7,,,2,4420684d0b75abc4734ba6026107e429
DEVARAKONDA,8-Jun-2014,21:00:00,16.7,79.9,0,,,,2,4420684d0b75abc4734ba6026107e429
GADWAL,8-Jun-2014,21:00:00,16.2,78,0,,,,2,4420684d0b75abc4734ba6026107e429
GIDDALUR,8-Jun-2014,21:00:00,15.4,78.9,0,,,,2,4420684d0b75abc4734ba6026107e429
GUNTAKAL,8-Jun-2014,21:00:00,15.2,77.4,0,,,,2,4420684d0b75abc4734ba6026107e429
JANGAON,8-Jun-2014,21:00:00,17.7,79.2,0,,,,2,4420684d0b75abc4734ba6026107e429
JANGAMESHWARAPURAM,8-Jun-2014,21:00:00,16.5,79.4,0,,,,2,4420684d0b75abc4734ba6026107e429
KAMAREDDY,8-Jun-2014,21:00:00,18.3,78.3,0,,,,2,4420684d0b75abc4734ba6026107e429
KUNARAM,8-Jun-2014,21:00:00,18.5,79.5,0,31.4,,,2,4420684d0b75abc4734ba6026107e429
KOLLAPUR,8-Jun-2014,21:00:00,16.1,78.3,0,,,,2,4420684d0b75abc4734ba6026107e429
KUKATPALLY JNTU,8-Jun-2014,21:00:00,17.5,78.4,0,,,,2,4420684d0b75abc4734ba6026107e429
KALWAKURTHY,8-Jun-2014,21:00:00,16.7,78.5,0,,,,2,4420684d0b75abc4734ba6026107e429
MALYAL,8-Jun-2014,21:00:00,17.6,80,0,,,,2,4420684d0b75abc4734ba6026107e429
MEDCHAL,8-Jun-2014,21:00:00,17.6,78.5,0,,,,2,4420684d0b75abc4734ba6026107e429
MADAKASIRA,8-Jun-2014,21:00:00,13.9,77.3,0,25.3,,,2,4420684d0b75abc4734ba6026107e429
MULUGU,8-Jun-2014,21:00:00,18.2,79.9,0,,,,2,4420684d0b75abc4734ba6026107e429
NARAYANKHED,8-Jun-2014,21:00:00,18,77.8,0,,,,2,4420684d0b75abc4734ba6026107e429
NANDIGAMA,8-Jun-2014,21:00:00,16.8,80.3,0,32.2,,,2,4420684d0b75abc4734ba6026107e429
NAGARJUNA SAGAR,8-Jun-2014,21:00:00,16.6,79.3,0,,,,2,4420684d0b75abc4734ba6026107e429
NALGONDA,8-Jun-2014,21:00:00,17,79.3,0,33.8,,,2,4420684d0b75abc4734ba6026107e429
NARASARAOPET,8-Jun-2014,21:00:00,16,80,0,,,,2,4420684d0b75abc4734ba6026107e429
PODALAKUR,8-Jun-2014,21:00:00,14.4,79.7,0,35,,,2,4420684d0b75abc4734ba6026107e429
PALAKONDA,8-Jun-2014,21:00:00,18.6,83.8,0,,,,2,4420684d0b75abc4734ba6026107e429
PALASA MANDAL,8-Jun-2014,21:00:00,18.8,84.4,0,,,,2,4420684d0b75abc4734ba6026107e429
PRATHIPADU,8-Jun-2014,21:00:00,17.2,82.2,0,,,,2,4420684d0b75abc4734ba6026107e429
SIDDIPET,8-Jun-2014,21:00:00,18.1,78.8,0,,,,2,4420684d0b75abc4734ba6026107e429
SHADNAGAR,8-Jun-2014,21:00:00,17.1,78.2,0,,,,2,4420684d0b75abc4734ba6026107e429
SERILINGAMPALLY,8-Jun-2014,21:00:00,17.4,78.3,0,,,,2,4420684d0b75abc4734ba6026107e429
UPPAL,8-Jun-2014,21:00:00,17.4,78.6,0,,,,2,4420684d0b75abc4734ba6026107e429
VIJAYAWADA,8-Jun-2014,21:00:00,16.5,80.6,0,,,,2,4420684d0b75abc4734ba6026107e429
YACHARAM,8-Jun-2014,21:00:00,17,78.6,0,,,,2,4420684d0b75abc4734ba6026107e429
YERRAGONDAPALEM,8-Jun-2014,21:00:00,16,79.3,0,,,,2,4420684d0b75abc4734ba6026107e429
AROGYAVARAM,8-Jun-2014,21:00:00,13.6,78.5,0,26.8,,,2,4420684d0b75abc4734ba6026107e429
AROGYAVARAM,8-Jun-2014,20:00:00,13.6,78.5,0,27.5,,,2,4420684d0b75abc4734ba6026107e429
ASIFABAD,8-Jun-2014,20:00:00,19.4,79.3,0,,,,2,4420684d0b75abc4734ba6026107e429
GOLKONDA,8-Jun-2014,20:00:00,17.4,78.4,0,,,,2,4420684d0b75abc4734ba6026107e429
MAHBUBNAGAR,8-Jun-2014,20:00:00,16.8,78,0,29.6,,,2,4420684d0b75abc4734ba6026107e429
MEDAK,8-Jun-2014,20:00:00,18,78.3,0,32.2,,,2,4420684d0b75abc4734ba6026107e429
NIRMAL,8-Jun-2014,20:00:00,19.1,78.3,0,,,,2,4420684d0b75abc4734ba6026107e429
RAJAHMUNDRY,8-Jun-2014,20:00:00,17.1,81.6,0,29.8,,,2,4420684d0b75abc4734ba6026107e429
ZAHEERABAD,8-Jun-2014,20:00:00,17.7,77.6,0,29.9,,,2,4420684d0b75abc4734ba6026107e429
AMBAJIPETA,8-Jun-2014,20:00:00,16.6,81.9,0,30.4,,,2,4420684d0b75abc4734ba6026107e429
ARAKU VALLEY,8-Jun-2014,20:00:00,18.3,82.9,0,26.6,,,2,4420684d0b75abc4734ba6026107e429
ANANTHRAJPETA,8-Jun-2014,20:00:00,14,79.3,0,33.4,,,2,4420684d0b75abc4734ba6026107e429
AVANIGADDA,8-Jun-2014,20:00:00,16,80.9,0,,,,2,4420684d0b75abc4734ba6026107e429
CHEVELLA,8-Jun-2014,20:00:00,17.3,78.1,0,29.9,,,2,4420684d0b75abc4734ba6026107e429
DEVARAKONDA,8-Jun-2014,20:00:00,16.7,79.9,0,,,,2,4420684d0b75abc4734ba6026107e429
GADWAL,8-Jun-2014,20:00:00,16.2,78,0,,,,2,4420684d0b75abc4734ba6026107e429
GIDDALUR,8-Jun-2014,20:00:00,15.4,78.9,0,,,,2,4420684d0b75abc4734ba6026107e429
GARIKAPADU,8-Jun-2014,20:00:00,17,80,0,,,,2,4420684d0b75abc4734ba6026107e429
GUNTAKAL,8-Jun-2014,20:00:00,15.2,77.4,0,,,,2,4420684d0b75abc4734ba6026107e429
JANGAON,8-Jun-2014,20:00:00,17.7,79.2,0,,,,2,4420684d0b75abc4734ba6026107e429
JANGAMESHWARAPURAM,8-Jun-2014,20:00:00,16.5,79.4,0,,,,2,4420684d0b75abc4734ba6026107e429
KAMAREDDY,8-Jun-2014,20:00:00,18.3,78.3,0,,,,2,4420684d0b75abc4734ba6026107e429
KOLLAPUR,8-Jun-2014,20:00:00,16.1,78.3,0,,,,2,4420684d0b75abc4734ba6026107e429
KODANGAL,8-Jun-2014,20:00:00,17.1,77.6,0,28.8,,,2,4420684d0b75abc4734ba6026107e429
KUKATPALLY JNTU,8-Jun-2014,20:00:00,17.5,78.4,0,,,,2,4420684d0b75abc4734ba6026107e429
