station_id,date,time_utc,lat,lng,rainfall,temp,temp_max,temp_min,state,url_hash
PERNEM,8-Jun-2014,23:00:00,15.7,73.8,0,26.5,,,7,52204cb71092829941686686e09f107a
MAPUSA,8-Jun-2014,23:00:00,15.6,73.8,0,26,,,7,52204cb71092829941686686e09f107a
MAPUSA,8-Jun-2014,22:00:00,15.6,73.8,0,26,,,7,52204cb71092829941686686e09f107a
CANACONA,8-Jun-2014,22:00:00,15,74,3,25,,,7,52204cb71092829941686686e09f107a
VALPOI,8-Jun-2014,21:00:00,15.5,74.1,0,26.5,,,7,52204cb71092829941686686e09f107a
CANACONA,8-Jun-2014,21:00:00,15,74,3,25,,,7,52204cb71092829941686686e09f107a
PERNEM,8-Jun-2014,21:00:00,15.7,73.8,0,26.7,,,7,52204cb71092829941686686e09f107a
MAPUSA,8-Jun-2014,21:00:00,15.6,73.8,0,26.1,,,7,52204cb71092829941686686e09f107a
MAPUSA,8-Jun-2014,20:00:00,15.6,73.8,0,26.2,,,7,52204cb71092829941686686e09f107a
PERNEM,8-Jun-2014,20:00:00,15.7,73.8,0,26.8,,,7,52204cb71092829941686686e09f107a
CANACONA,8-Jun-2014,20:00:00,15,74,3,25.1,,,7,52204cb71092829941686686e09f107a
VALPOI,8-Jun-2014,20:00:00,15.5,74.1,0,26.6,,,7,52204cb71092829941686686e09f107a
PERNEM,8-Jun-2014,19:00:00,15.7,73.8,0,27.3,,,7,52204cb71092829941686686e09f107a
MAPUSA,8-Jun-2014,19:00:00,15.6,73.8,0,26.5,,,7,52204cb71092829941686686e09f107a
CANACONA,8-Jun-2014,19:00:00,15,74,1,25.4,,,7,52204cb71092829941686686e09f107a
VALPOI,8-Jun-2014,19:00:00,15.5,74.1,0,26.9,,,7,52204cb71092829941686686e09f107a
VALPOI,8-Jun-2014,18:00:00,15.5,74.1,0,27.3,,,7,52204cb71092829941686686e09f107a
CANACONA,8-Jun-2014,18:00:00,15,74,1,25.6,,,7,52204cb71092829941686686e09f107a
MAPUSA,8-Jun-2014,18:00:00,15.6,73.8,0,26.8,,,7,52204cb71092829941686686e09f107a
PERNEM,8-Jun-2014,18:00:00,15.7,73.8,0,27.4,,,7,52204cb71092829941686686e09f107a
VALPOI,8-Jun-2014,17:00:00,15.5,74.1,0,27.3,,,7,52204cb71092829941686686e09f107a
PERNEM,8-Jun-2014,17:00:00,15.7,73.8,0,27.8,,,7,52204cb71092829941686686e09f107a
MAPUSA,8-Jun-2014,17:00:00,15.6,73.8,0,26.9,,,7,52204cb71092829941686686e09f107a
